Total NEV Sales,Year,Month,Date,Covid-19,Number of new energy policies,Production,Inventory,Gasoline LDV sales,M1SL,M2SL,Federal fund effective rate,Umemployment rate,PPIBC,PPIBM,PCE ,GDP,Durable goods consumption,Nondurable goods consumption,Nonresidential fixed Investment,Residential fixed Investment,Tesla model S price,ElectricPorts,BatteryCost,Percentage of employees with a bachelor's degree or higher education,Percentage of employees who are middle-aged (25-55),Population,Per capita disposable income,Gasoline price,Electric retail price
28937,2010,12,40543,0,26,176398,796700,1115903,1836.7,8822.9,0,0.09,132.1,142.6,1078.7,15309.5,1078.4,2320.4,1801.9,369.3,26775.26,626,1052.558891,0.35,0.77,310817,36993.79,3.048,9.52
19964,2011,1,40574,0,34,195425,794600,799974,1846.3,8845.2,0,0.09,132.1,143.5,1085,,,,,,26775.26,996,785.3961278,0.35,0.77,311376,37612.4,3.148,9.48
23670,2011,2,40602,0,40,228745,766700,969865,1870.1,8909,0,0.09,132.1,143.3,1083.8,,,,,,26775.26,1367,785.3961278,0.35,0.77,,,3.264,9.56
35439,2011,3,40633,0,38,282702,737500,1211229,1896.5,8967,0,0.09,132.1,143.6,1095,15351.4,1087.9,2381.1,1805.1,368.8,26775.26,1737,785.3961278,0.35,0.77,,,3.615,9.55
26668,2011,4,40663,0,45,213240,699600,1131260,1897,9030.4,0,0.09,132.1,144.8,1090.9,,,,,,26775.26,2107,785.3961278,0.35,0.77,311940,37838.69,3.852,9.54
19050,2011,5,40694,0,46,236472,695000,1042791,1941.6,9102.7,0,0.09,132.1,144.4,1081.2,,,,,,26775.26,2478,785.3961278,0.35,0.77,,,3.96,9.78
14924,2011,6,40724,0,50,242696,710800,1038490,1963.4,9176.7,0,0.09,132.1,145.9,1076.6,15557.5,1082.9,2431.6,1862,374.3,26775.26,2848,785.3961278,0.35,0.77,,,3.735,10.26
20678,2011,7,40755,0,45,163142,721300,1039052,1996,9338.7,0,0.09,132.1,146.8,1085.7,,,,,,26775.26,3218,785.3961278,0.35,0.77,312606,38134.58,3.705,10.47
22846,2011,8,40786,0,41,294424,739200,1049533,2115.4,9525.1,0,0.09,132.1,147,1085.2,,,,,,26775.26,3589,785.3961278,0.35,0.77,,,3.696,10.49
19379,2011,9,40816,0,43,264011,733500,1034382,2120,9545.3,0,0.09,133.1,147.3,1101.3,15647.7,1090.8,2437,1953.8,381.1,26775.26,3959,785.3961278,0.35,0.76,,,3.667,10.29
22031,2011,10,40847,0,35,309720,750800,999154,2128.5,9578.1,0,0.09,133.1,147.2,1114.4,,,,,,26775.26,4329,785.3961278,0.36,0.76,313258,38266.86,3.506,9.83
28022,2011,11,40877,0,39,281689,775600,966764,2182,9629.8,0,0.09,133.1,147.2,1107.9,,,,,,26775.26,4700,785.3961278,0.35,0.76,,,3.443,9.58
33841,2011,12,40908,0,24,264725,806700,1209943,2165.7,9677.4,0,0.09,133.1,146.6,1114.9,15842.3,1112.4,2448.8,2009,391.2,26775.26,5914,785.3961278,0.35,0.77,,,3.326,9.53
23206,2012,1,40939,0,23,320355,859600,890078,2201.8,9750.5,0,0.08,133.1,147.1,1130.4,,,,,,26775.26,6757,588.7166355,0.36,0.76,313813,39042.68,3.44,9.61
37884,2012,2,40968,0,29,343261,852700,1111548,2207.1,9802.2,0,0.08,133.1,147,1145.9,,,,,,26775.26,7601,588.7166355,0.36,0.76,,,3.64,9.58
52367,2012,3,40999,0,31,363745,852200,1352256,2227.8,9846.2,0,0.08,133.1,147.1,1138,16068.8,1138.1,2490.6,2073.4,414.1,26775.26,8444,588.7166355,0.36,0.76,,,3.907,9.52
43496,2012,4,41029,0,29,339702,877300,1141071,2237.3,9899.8,0,0.08,133.1,147.9,1137.4,,,,,,26775.26,9288,588.7166355,0.36,0.76,314373,39329.71,3.958,9.47
